delta_abs_error,Solvent_Name
0.2000850439071655,n-Propyl acetate
0.1726192831993103,n-Propyl acetate
0.0866940021514892,n-Propyl acetate
0.1630675196647644,n-Propyl acetate
-0.9460568428039552,Cyclohexane
-0.900223970413208,Cyclohexane
-0.7359752655029297,Cyclohexane
-0.7357420921325684,Cyclohexane
-0.6912879943847656,Cyclohexane
-0.6860370635986328,Cyclohexane
-0.7144293785095215,Cyclohexane
-0.9039676189422609,Cyclohexane
0.2489185333251952,n-Propyl acetate
0.3267529010772705,n-Propyl acetate
0.3291233777999878,n-Propyl acetate
0.3212836980819703,n-Propyl acetate
0.2993377447128296,n-Propyl acetate
0.2365953922271729,n-Propyl acetate
0.2568804025650025,n-Propyl acetate
0.2531270980834961,n-Propyl acetate
0.0997272729873658,n-Propyl acetate
0.0968984365463256,n-Propyl acetate
-0.4168073559344304,NMP
-0.3633128165498283,NMP
-0.3267502383807782,NMP
-0.273084865300521,NMP
-0.228641464394725,NMP
-0.1753933218212244,NMP
-0.2751107744065457,NMP
-0.2141224314110837,NMP
-0.2973256707191467,NMP
-0.2973256707191468,NMP
-0.3082854747772217,NMP
-0.3082854747772217,NMP
-0.3685063871975405,NMP
-0.2757399780391097,NMP
-0.3156553445292789,NMP
-0.2215230851503035,NMP
-0.318110004067421,NMP
-0.2291580365781561,NMP
-0.6856454610824585,DMSO
-0.6308557093143463,DMSO
-0.563156932592392,DMSO
-0.5985512584447862,DMSO
-0.5409249365329742,DMSO
-0.4760236293077469,DMSO
-0.417408287525177,DMSO
-0.0873503684997558,Cyclohexane
-0.1698441505432129,Cyclohexane
-0.0983366966247558,Cyclohexane
-0.130234956741333,Cyclohexane
-0.0436103343963623,Cyclohexane
0.0407544374465937,Cyclohexane
0.0180926322937007,Cyclohexane
-0.0396817922592163,Cyclohexane
0.0213088989257812,Cyclohexane
-0.3033803701400757,NMP
-0.2823536768555641,NMP
-0.2315358016639948,NMP
-0.1402902416884899,NMP
-0.1455499669536948,NMP
-0.2407646179199218,NMP
-0.2076438702642918,NMP
-0.1889525875449181,NMP
-0.2226629401557148,NMP
-0.2557705380022526,NMP
-0.2856396436691284,Ethylene glycol
-0.3251194953918457,Ethylene glycol
-0.3282902240753175,Ethylene glycol
-0.4098499417304992,Ethylene glycol
-0.4205474257469178,Ethylene glycol
-0.3820819854736329,Ethylene glycol
-0.2707698941230774,Ethylene glycol
-0.3288406133651734,Ethylene glycol
-0.2307182550430297,Ethylene glycol
-0.1784442663192749,Ethylene glycol
0.1939963102340698,Cyclohexane
0.170119047164917,Cyclohexane
0.2625045776367188,Cyclohexane
0.355963945388794,Cyclohexane
0.4244897365570069,Cyclohexane
0.4270226955413818,Cyclohexane
0.4523666363124127,Cyclohexane
0.4358466267585754,Cyclohexane
0.3752009868621825,Cyclohexane
-0.1428043468051384,NMP
-0.1263856125855277,NMP
-0.1722737981351865,NMP
-0.1674577745067856,NMP
-0.1733500063419342,NMP
-0.2273562848567963,NMP
-0.2604106068611145,NMP
-0.3215294480323792,NMP
-0.2964349389076233,NMP
-0.3066423535346985,NMP
-0.3692471981048584,Ethylene glycol
-0.4115356206893921,Ethylene glycol
-0.3653992712497711,Ethylene glycol
-0.4222001135349274,Ethylene glycol
-0.4928495585918427,Ethylene glycol
-0.4881260842084885,Ethylene glycol
-0.4384930133819581,Ethylene glycol
-0.371979514013687,Ethylene glycol
-0.2850478142499924,Ethylene glycol
-0.303628214634955,Ethylene glycol
0.3887464123014816,Cyclohexane
0.3426648378372193,Cyclohexane
0.1836867332458496,Cyclohexane
0.1607518196105957,Cyclohexane
0.2008570432662964,Cyclohexane
0.1609432697296143,Cyclohexane
0.1048829555511475,Cyclohexane
0.1938191652297973,Cyclohexane
-0.1143040657043457,Cyclohexane
-0.0473244190216065,Cyclohexane
-0.0554230213165283,Cyclohexane
-0.0512264966964721,Cyclohexane
-0.0700169801712036,Cyclohexane
-0.1152555942535401,Cyclohexane
-0.0871099233627319,Cyclohexane
-0.1534944772720337,Cyclohexane
-0.1561812162399292,Cyclohexane
-0.1846565008163452,Cyclohexane
-0.168367862701416,Cyclohexane
-0.180648922920227,Cyclohexane
-0.2824418544769287,Cyclohexane
-0.331002414226532,Cyclohexane
-0.2106512784957886,Cyclohexane
-0.1004090905189514,Cyclohexane
-0.2859923839569092,Cyclohexane
-0.2673593759536743,Cyclohexane
-0.3370932489633561,Cyclohexane
-0.2850669622421264,Cyclohexane
-0.2609473839402199,Cyclohexane
-0.3444351702928543,Cyclohexane
0.2123943565922585,n-Propyl acetate
0.1457050845183634,n-Propyl acetate
0.1484511757530052,n-Propyl acetate
0.1371143279556058,n-Propyl acetate
0.0598001181978534,n-Propyl acetate
0.1216508130826188,n-Propyl acetate
0.106539082739431,n-Propyl acetate
0.1639483979425535,n-Propyl acetate
0.1713565610895924,n-Propyl acetate
0.1205478808490197,n-Propyl acetate
-0.143910825252533,n-Propyl acetate
-0.1732254624366761,n-Propyl acetate
-0.2057514786720277,n-Propyl acetate
-0.1744916737079621,n-Propyl acetate
-0.1657633632421494,n-Propyl acetate
-0.1164955943822861,n-Propyl acetate
-0.1281784288585186,n-Propyl acetate
-0.1641577929258347,n-Propyl acetate
-0.1170335449278354,n-Propyl acetate
0.0946146249771118,NMP
0.0685361623764038,NMP
0.0835247635841369,NMP
-0.1040908098220825,NMP
0.1040908098220825,NMP
0.0026339292526245,NMP
-0.0026339292526245,NMP
0.0699607729911804,NMP
-0.0699607729911804,NMP
-0.0208035707473754,NMP
0.0208035707473754,NMP
0.0565491914749145,NMP
-0.0565491914749145,NMP
-0.0258840322494506,NMP
-0.1702532768249512,NMP
-0.1453539729118348,NMP
-0.1453539729118348,NMP
-0.1409493088722229,NMP
-0.1409493088722229,NMP
-0.0992160737514495,NMP
-0.0992160737514495,NMP
-0.0047337710857391,NMP
-0.004733771085739,NMP
0.0919280499219893,NMP
0.0919280499219893,NMP
0.0822119414806366,NMP
0.0822119414806366,NMP
0.0367580056190489,NMP
0.036758005619049,NMP
0.0759305581450463,NMP
0.0759305581450463,NMP
0.0500037781894207,NMP
0.0534211057238281,NMP
0.0795992016792297,DMSO
0.0527310669422149,DMSO
0.0361388623714447,DMSO
0.0590451657772064,DMSO
0.1001784950494766,DMSO
0.1834707409143448,DMSO
0.1973796486854553,DMSO
0.1601584181189537,DMSO
0.145916037261486,DMSO
0.1055591478943825,DMSO
0.1055591478943825,DMSO
0.0350280441343784,DMSO
0.349123775959015,DMSO
0.2965622544288635,DMSO
0.2335318326950073,DMSO
0.1976283788681031,DMSO
0.1690257787704468,DMSO
0.095991133757151,DMSO
0.0147092419794225,DMSO
-0.0093939146270683,DMSO
-0.0194009476567744,DMSO
-0.0373119115829467,DMSO
-0.0616249442100525,DMSO
-0.0598524212837219,DMSO
-0.4158653020858765,Cyclohexane
-0.4795509576797486,Cyclohexane
-0.4286223649978638,Cyclohexane
-0.3221159230147875,Cyclohexane
-0.3042061924934388,Cyclohexane
-0.2362660765647888,Cyclohexane
-0.268697738647461,Cyclohexane
-0.1854541897773742,Cyclohexane
-0.1396787762641907,Cyclohexane
