LogS,split
-1.9688359641584876,training/common sample
-3.3110614718416507,training/common sample
-0.8739617459506216,training/common sample
-0.1443805661391792,training/common sample
-1.3511498163268396,training/common sample
-0.078644696261051,training/common sample
1.8438012708968212,training/common sample
1.3499162032506171,training/common sample
-0.2124597062014442,training/common sample
0.0716014425103072,training/common sample
-1.3189354162208706,training/common sample
-2.198355314279771,training/common sample
-0.705287413795203,training/common sample
-1.4107725578984658,training/common sample
-1.3151972251657882,training/common sample
-3.571554158095521,training/common sample
0.0327113450008331,training/common sample
-0.5744982848425623,training/common sample
-0.749083849411116,training/common sample
-1.090699601918022,training/common sample
-1.9709341756293024,training/common sample
-1.5854494406727353,training/common sample
-2.463366382397893,training/common sample
-1.864528974066601,training/common sample
-0.0777786806293698,training/common sample
-0.7747626790312654,training/common sample
-1.3196102724278669,training/common sample
-1.6461307366257891,training/common sample
-2.2595001264528873,training/common sample
-1.2688722269473802,training/common sample
-0.7056071741897162,training/common sample
-2.594114002192423,training/common sample
-0.1281427597677804,training/common sample
-2.0318663625846276,training/common sample
-4.396895728015391,training/common sample
-0.0310779235908887,training/common sample
-1.275975140077508,training/common sample
-1.2008476752799673,training/common sample
-2.1660296758548525,training/common sample
-0.0161857389456262,training/common sample
-0.7026635090739584,training/common sample
0.1795570160979859,training/common sample
-0.9489756375381472,training/common sample
-1.6963238738530142,training/common sample
-0.5108549094260391,training/common sample
-1.6898258778095876,training/common sample
-0.7603340613563492,training/common sample
-2.128860425356881,training/common sample
-1.8663928192174777,training/common sample
0.3686882906610576,training/common sample
-1.1890345199311545,training/common sample
-1.622024170384606,training/common sample
-1.734788014415957,training/common sample
0.1200669400003122,training/common sample
-0.5475774676358025,training/common sample
-0.1558824708950655,training/common sample
-0.9214970780170946,training/common sample
-1.9669766029601936,training/common sample
0.383347265062224,training/common sample
-0.993451091594318,training/common sample
-1.7618227468821857,training/common sample
-2.760936176987486,training/common sample
0.1224869508711722,training/common sample
-2.068225565825386,training/common sample
-1.7100421242597388,training/common sample
-0.2442992821453352,training/common sample
-0.7651233192692085,training/common sample
-1.6397872151647532,training/common sample
-0.0537336333641886,training/common sample
-2.8606098272984584,training/common sample
0.0096836889004941,training/common sample
-0.7467391486081038,training/common sample
-1.579624023115734,training/common sample
-0.0931053098489857,training/common sample
-2.6234255732096035,training/common sample
-1.2570429258209692,training/common sample
0.575567995990986,training/common sample
-0.95632824362507,training/common sample
-1.1005124704241218,training/common sample
-1.620111766998515,training/common sample
0.1033250012662199,training/common sample
-0.3959868626985167,training/common sample
-1.3580395398944685,training/common sample
0.0774211537125594,training/common sample
-1.0022117135712882,training/common sample
-3.607615270556723,training/common sample
0.3790690631276467,training/common sample
0.7584855776713892,training/common sample
-0.9203876296356512,training/common sample
-0.8004186742851012,training/common sample
-0.896013713950281,training/common sample
0.6417673063252012,training/common sample
-0.94268494814056,training/common sample
-1.43948745482252,training/common sample
-0.2896454122661752,training/common sample
-0.9242299238765268,training/common sample
-0.3958477459454968,training/common sample
1.4530571398394063,training/common sample
-0.7322295459825768,training/common sample
-0.2440431380671802,training/common sample
-2.8389390729622774,training/common sample
1.6781372002821318,training/common sample
-1.6866305023095032,training/common sample
-1.1744232412020092,training/common sample
-0.829003117632127,training/common sample
-1.680663343331302,training/common sample
-2.361954229833804,training/common sample
0.5215743389621926,training/common sample
-1.7133982311414568,training/common sample
-2.2721341432277664,training/common sample
-0.7593890507530309,training/common sample
-4.037989284876262,training/common sample
-0.4201464436990498,training/common sample
-0.3741500299011507,training/common sample
-1.8270419043382589,training/common sample
-2.5097569372584507,training/common sample
-0.1714765740444583,training/common sample
-4.814012022860935,training/common sample
-0.233598008684835,training/common sample
0.7365880655033764,training/common sample
0.2367825813419807,training/common sample
0.1639286717449229,training/common sample
0.8214311074856616,training/common sample
-0.6372320559156124,training/common sample
0.1199635280882744,training/common sample
-0.9959782948315729,training/common sample
-1.0735911831558838,training/common sample
-0.5384151181297587,training/common sample
-0.2723228328818119,training/common sample
-0.73828529316279,training/common sample
-1.7880757582051112,training/common sample
-0.5532654419346287,training/common sample
0.029985207552771,training/common sample
-0.9390874231553032,training/common sample
-0.6278776598359566,training/common sample
-2.1629103900649245,training/common sample
-0.3982438882247884,training/common sample
-0.6379633202814485,training/common sample
1.5526049414477523,training/common sample
-0.971920815755156,training/common sample
-0.9000455722056623,training/common sample
0.2898186497838811,training/common sample
0.228837129948395,training/common sample
-0.0193443945060693,training/common sample
0.9407392890990304,training/common sample
-0.6123005722167068,training/common sample
-1.5903996332451966,training/common sample
-1.101992524115619,training/common sample
0.396909418376469,training/common sample
0.3963918929742028,training/common sample
-2.7022538770059343,training/common sample
-1.7194465365123102,training/common sample
1.1384275384787188,training/common sample
-4.475388397888585,training/common sample
-3.8909292446756103,training/common sample
0.9220966941661044,training/common sample
-1.3636808396887163,training/common sample
-1.2767093259617712,training/common sample
-1.9067701568535396,training/common sample
-2.3472904377632906,training/common sample
-1.2213870402208535,training/common sample
