seed,model,feature_count,train_n,val_n,test_n,R2,MAE,RMSE
54,v1,33,88054,9784,5424,0.6671513242937814,0.5251564453180467,0.7196789665099507
54,v2,47,88054,9784,5424,0.7532868145502485,0.44876208578065985,0.619600234950597
55,class_cross_full98,98,88054,9784,5424,0.755403702773376,0.43756066810076577,0.6169363114018273
55,class_cross_top33_valshap,33,88054,9784,5424,0.7626483462340565,0.4520802384790351,0.607731188081362
55,class_cross_top47_valshap,47,88054,9784,5424,0.7869564539722991,0.4166968587461683,0.5757707316701806
55,class_cross_top60_valshap,60,88054,9784,5424,0.7707265422775039,0.42559457764915926,0.5972996823131902
55,v1,33,88054,9784,5424,0.6822517844459308,0.5119342448661225,0.70316452709207
55,v2,47,88054,9784,5424,0.7614905641537122,0.43852657264452893,0.609211616601307
56,class_cross_full98,98,88054,9784,5424,0.772988065708369,0.42799658073137264,0.5943465388982524
56,class_cross_top33_valshap,33,88054,9784,5424,0.7713872030833775,0.438356096196931,0.5964384897951184
56,class_cross_top47_valshap,47,88054,9784,5424,0.7863010820442428,0.41567553437320975,0.5766556545589991
56,class_cross_top60_valshap,60,88054,9784,5424,0.7846662627928823,0.4154651685993964,0.5788571903611482
56,v1,33,88054,9784,5424,0.6940027350816012,0.4967591561059659,0.6900398398953634
56,v2,47,88054,9784,5424,0.7476791958480395,0.45001874109874296,0.6266022116747312
57,class_cross_full98,98,88054,9784,5424,0.7700954553319951,0.423116646951395,0.5981211664047049
57,class_cross_top33_valshap,33,88054,9784,5424,0.7038263229544266,0.5192712073011911,0.6788731339076716
57,class_cross_top47_valshap,47,88054,9784,5424,0.7843522820268918,0.41783506651843794,0.579279056023394
57,class_cross_top60_valshap,60,88054,9784,5424,0.7776055471866595,0.4191115490911054,0.5882709039921115
57,v1,33,88054,9784,5424,0.6777310169667592,0.5098986811125775,0.7081490024355589
57,v2,47,88054,9784,5424,0.745413569305202,0.44956628721146175,0.6294091027468358
58,class_cross_full98,98,88054,9784,5424,0.769997160480881,0.4240787202030917,0.598249015004494
58,class_cross_top33_valshap,33,88054,9784,5424,0.7215778343622765,0.5010019146514982,0.6582142752929246
58,class_cross_top47_valshap,47,88054,9784,5424,0.7814734675448165,0.41521382482270086,0.5831328139362455
58,class_cross_top60_valshap,60,88054,9784,5424,0.7685193415851729,0.4309087160074538,0.6001678784942547
58,v1,33,88054,9784,5424,0.6904134817873904,0.5122129510488255,0.6940750185136666
58,v2,47,88054,9784,5424,0.7585495310783285,0.4402348529283189,0.6129561685795251
