model,seed,SMILES_Solvent,Solvent_Name,n_rows,R2,MAE,RMSE
class_cross_top60_valshap,45,CCCOC(C)=O,n-Propyl acetate,1046,0.907212128907522,0.19301721711893435,0.24456624776803715
class_cross_top60_valshap,45,CS(C)=O,DMSO,1076,0.6524231188966416,0.46617256259472045,0.6081078292902791
class_cross_top60_valshap,45,OCCO,Ethylene glycol,1111,0.701983745327881,0.43739386800830243,0.5739883043566097
v1,46,C1CCCCC1,Cyclohexane,1142,0.5053671803685036,0.7893189257057347,1.0056417416672983
v1,46,CN1CCCC1=O,NMP,1049,0.3904878405568939,0.4815095712556841,0.6120007063025493
v1,46,CCCOC(C)=O,n-Propyl acetate,1046,0.9308686038154531,0.15080416134216618,0.2111001681620466
v1,46,CS(C)=O,DMSO,1076,0.41794588704535696,0.6367176980008149,0.7869313282489909
v1,46,OCCO,Ethylene glycol,1111,0.7179992416611634,0.4229519086656456,0.558352165914075
v2,46,C1CCCCC1,Cyclohexane,1142,0.583474227049211,0.7344958724530873,0.9228322567585625
v2,46,CN1CCCC1=O,NMP,1049,0.663759181587877,0.35067012163806677,0.45455449147246096
v2,46,CCCOC(C)=O,n-Propyl acetate,1046,0.9269112035744324,0.16164622268578632,0.2170582615676911
v2,46,CS(C)=O,DMSO,1076,0.6049002378558377,0.49723360592172167,0.6483485413401316
v2,46,OCCO,Ethylene glycol,1111,0.7294546467524182,0.4132141152856074,0.5468939343613678
class_cross_full98,46,C1CCCCC1,Cyclohexane,1142,0.5630492280239677,0.7539065131579822,0.9451877458695788
class_cross_full98,46,CN1CCCC1=O,NMP,1049,0.6872742080890966,0.33967934607126443,0.4383717779736023
class_cross_full98,46,CCCOC(C)=O,n-Propyl acetate,1046,0.9170159793146957,0.17289477046995683,0.2312853644430737
class_cross_full98,46,CS(C)=O,DMSO,1076,0.6517547523579418,0.47389816864221934,0.6086922233426235
class_cross_full98,46,OCCO,Ethylene glycol,1111,0.7190834375985529,0.41464842557246684,0.557277796242205
class_cross_top33_valshap,46,C1CCCCC1,Cyclohexane,1142,0.6241738684895362,0.6776396136134606,0.8765875816224746
class_cross_top33_valshap,46,CN1CCCC1=O,NMP,1049,0.6369700782700709,0.37498320968333776,0.47231522735930254
class_cross_top33_valshap,46,CCCOC(C)=O,n-Propyl acetate,1046,0.8642457367810592,0.23782163076701537,0.2958200824461724
class_cross_top33_valshap,46,CS(C)=O,DMSO,1076,0.6357116719401313,0.49367950876197575,0.6225550813723322
class_cross_top33_valshap,46,OCCO,Ethylene glycol,1111,0.7531329185035538,0.3795386659291425,0.5224138213774298
class_cross_top47_valshap,46,C1CCCCC1,Cyclohexane,1142,0.6556021717594405,0.6540834185695119,0.8391353735631579
class_cross_top47_valshap,46,CN1CCCC1=O,NMP,1049,0.714233138604516,0.32894699815382183,0.41905079493149877
class_cross_top47_valshap,46,CCCOC(C)=O,n-Propyl acetate,1046,0.9043185256227368,0.1958280223685381,0.24835038905096646
class_cross_top47_valshap,46,CS(C)=O,DMSO,1076,0.6713376609928716,0.457344550005638,0.5913302888909041
class_cross_top47_valshap,46,OCCO,Ethylene glycol,1111,0.721495515399684,0.4098548023322044,0.5548801175189949
class_cross_top60_valshap,46,C1CCCCC1,Cyclohexane,1142,0.5829544450871843,0.7164533978565302,0.92340787781265
class_cross_top60_valshap,46,CN1CCCC1=O,NMP,1049,0.715680990636865,0.3339488542355846,0.4179878760298796
class_cross_top60_valshap,46,CCCOC(C)=O,n-Propyl acetate,1046,0.9118144188936955,0.18161632635410854,0.23842385506725516
class_cross_top60_valshap,46,CS(C)=O,DMSO,1076,0.6263139068329293,0.4850113483361648,0.630534162698118
class_cross_top60_valshap,46,OCCO,Ethylene glycol,1111,0.732269467814517,0.40154602563229513,0.5440414853908307
v1,47,C1CCCCC1,Cyclohexane,1142,0.48560185258583477,0.8144075986487977,1.0255374513849425
v1,47,CN1CCCC1=O,NMP,1049,0.403099720984637,0.47946525476190843,0.6056359231324623
v1,47,CCCOC(C)=O,n-Propyl acetate,1046,0.9319301490823231,0.14954103969820154,0.20947312656574177
v1,47,CS(C)=O,DMSO,1076,0.37674905179960305,0.6668319255849001,0.8143041121489941
v1,47,OCCO,Ethylene glycol,1111,0.7043309126262116,0.4295397043445401,0.571723478574167
v2,47,C1CCCCC1,Cyclohexane,1142,0.5473039639433599,0.7587717875789853,0.962066678200892
v2,47,CN1CCCC1=O,NMP,1049,0.6371917062561714,0.35946985337253196,0.472171032283843
v2,47,CCCOC(C)=O,n-Propyl acetate,1046,0.9208485198202557,0.17741691115551328,0.22588138172716546
v2,47,CS(C)=O,DMSO,1076,0.6079807945599176,0.4997136981685009,0.6458160381213447
v2,47,OCCO,Ethylene glycol,1111,0.7159512387945652,0.4221713191476563,0.5603759870491413
class_cross_full98,47,C1CCCCC1,Cyclohexane,1142,0.6002862222441946,0.7104994114203451,0.9040165600977705
class_cross_full98,47,CN1CCCC1=O,NMP,1049,0.6837889957656904,0.33823784707719506,0.44080775475538575
class_cross_full98,47,CCCOC(C)=O,n-Propyl acetate,1046,0.9209380085550112,0.1731473521349583,0.225753654768125
class_cross_full98,47,CS(C)=O,DMSO,1076,0.611494451925484,0.5030559173813842,0.6429153079990094
class_cross_full98,47,OCCO,Ethylene glycol,1111,0.7025881784913212,0.43337062626267153,0.5734059306547394
class_cross_top33_valshap,47,C1CCCCC1,Cyclohexane,1142,0.6217529297641712,0.6822501388427561,0.879406382724527
class_cross_top33_valshap,47,CN1CCCC1=O,NMP,1049,0.601324373789587,0.39971996601156146,0.4949605423601481
class_cross_top33_valshap,47,CCCOC(C)=O,n-Propyl acetate,1046,0.855250489862694,0.24659284501655135,0.3054636005713986
class_cross_top33_valshap,47,CS(C)=O,DMSO,1076,0.616044589368976,0.4995800643643886,0.6391393401677017
class_cross_top33_valshap,47,OCCO,Ethylene glycol,1111,0.7097255747356137,0.41117382381614775,0.5664837469406838
class_cross_top47_valshap,47,C1CCCCC1,Cyclohexane,1142,0.629419594042055,0.684120644976931,0.8704484441496922
class_cross_top47_valshap,47,CN1CCCC1=O,NMP,1049,0.752981996023154,0.2974145689017949,0.3896054652775821
class_cross_top47_valshap,47,CCCOC(C)=O,n-Propyl acetate,1046,0.9157390950689319,0.18020685287560056,0.23305797828262798
