seed,top_k,rank,feature
43,47,35,Cross_nonpolar_match
43,47,36,Cross_surface_imbalance_product
43,47,37,Solute_NumHDonors
43,47,38,Solvent_sig3
43,47,39,Solvent_hydrophobic_density
43,47,40,Class_ester_x_solute_TPSA_density
43,47,41,Solute_neg_area_frac
43,47,42,Cross_sigma3_abs_gap
43,47,43,Solvent_sig2
43,47,44,Class_ester_x_solute_HBD
43,47,45,Cross_acc_to_don_surface
43,47,46,Solute_NumHAcceptors
43,47,47,Cross_HB_capacity_product
43,60,1,Solute_BertzCT
43,60,2,Temperature_K
43,60,3,Solute_TPSA
43,60,4,Solute_HB_capacity
43,60,5,Solute_MolLogP
43,60,6,Solute_MolWt
43,60,7,Solvent_MaxPartialCharge
43,60,8,Solute_BalabanJ
43,60,9,Solvent_pos_area_frac
43,60,10,Solute_MaxPartialCharge
43,60,11,Solute_NumAromaticRings
43,60,12,Solute_M_hb_don
43,60,13,Solute_sig3
43,60,14,Solute_polar_surface_density
43,60,15,Cross_sigma2_abs_gap
43,60,16,Solute_M_nonpolar
43,60,17,Solute_NumRotatableBonds
43,60,18,Solute_MinAbsPartialCharge
43,60,19,Solute_RingCount
43,60,20,Solute_sig2
43,60,21,Solute_MaxAbsPartialCharge
43,60,22,Solute_LabuteASA
43,60,23,Cross_logP_abs_gap
43,60,24,Solvent_neg_area_frac
43,60,25,Solute_HeavyAtomCount
43,60,26,Cross_TPSA_density_abs_gap
43,60,27,Solvent_sigma_asymmetry_abs
43,60,28,Cross_hb_don_moment_product
43,60,29,Solvent_BalabanJ
43,60,30,Cross_HB_directional_balance
43,60,31,Solvent_MolLogP
43,60,32,Solute_M_hb_acc
43,60,33,Solute_pos_area_frac
43,60,34,Solute_MinPartialCharge
43,60,35,Cross_nonpolar_match
43,60,36,Cross_surface_imbalance_product
43,60,37,Solute_NumHDonors
43,60,38,Solvent_sig3
43,60,39,Solvent_hydrophobic_density
43,60,40,Class_ester_x_solute_TPSA_density
43,60,41,Solute_neg_area_frac
43,60,42,Cross_sigma3_abs_gap
43,60,43,Solvent_sig2
43,60,44,Class_ester_x_solute_HBD
43,60,45,Cross_acc_to_don_surface
43,60,46,Solute_NumHAcceptors
43,60,47,Cross_HB_capacity_product
43,60,48,Solute_signed_surface_imbalance
43,60,49,Cross_pos_area_abs_gap
43,60,50,Solvent_MinAbsPartialCharge
43,60,51,Class_nonpolar_x_nonpolar_match
43,60,52,Solvent_self_hbond_proxy
43,60,53,Solvent_LabuteASA
43,60,54,Class_nonpolar_x_solute_sigma2
43,60,55,Cross_HBA_solute_x_HBD_solvent
43,60,56,Cross_hb_acc_moment_product
43,60,57,Cross_HBD_solute_x_HBA_solvent
43,60,58,Solvent_MinPartialCharge
43,60,59,Class_nonpolar_x_solute_TPSA_density
43,60,60,Solvent_M_hb_acc
44,33,1,Solute_BertzCT
44,33,2,Temperature_K
44,33,3,Solute_TPSA
44,33,4,Solute_HB_capacity
44,33,5,Solute_MolLogP
44,33,6,Solute_MolWt
