learner,candidate,reference,metric,mean_delta,std_delta,median_delta,wins,n_seeds
RandomForest,CAT-Solv-47,2D-Elec,R2,0.0869123840778945,0.007876561465261745,0.08749915671612712,20,20
RandomForest,CAT-Solv-47,2D-Elec,MAE,-0.05733110548765548,0.008105935309862795,-0.06084765500177766,20,20
RandomForest,CAT-Solv-47,2D-Elec,RMSE,-0.08953268723606161,0.008277842918799972,-0.09012714028989216,20,20
RandomForest,CAT-Solv-47,2D-Min,R2,0.18369965941223415,0.008455112175894555,0.1839084995912213,20,20
RandomForest,CAT-Solv-47,2D-Min,MAE,-0.13286900315427236,0.007734073462152472,-0.13525838333341786,20,20
RandomForest,CAT-Solv-47,2D-Min,RMSE,-0.17867069222447043,0.008319219587616089,-0.17946409332999597,20,20
ExtraTrees,2D-Elec,2D-Min,R2,0.06417246060628486,0.005219187635335514,0.06468972106193904,20,20
ExtraTrees,2D-Elec,2D-Min,MAE,-0.044781132406575344,0.00335888952119675,-0.04456280513682631,20,20
ExtraTrees,2D-Elec,2D-Min,RMSE,-0.06166550264000452,0.004942837189918809,-0.06201754554098493,20,20
ExtraTrees,Sigma-Solv,2D-Elec,R2,0.11675281092023808,0.006251123293703929,0.11572269386489614,20,20
ExtraTrees,Sigma-Solv,2D-Elec,MAE,-0.10083748351249758,0.0049816238769585935,-0.10035521315708096,20,20
ExtraTrees,Sigma-Solv,2D-Elec,RMSE,-0.12702765133697794,0.007268523115475575,-0.1258752823290663,20,20
ExtraTrees,Sigma-Solv,2D-Min,R2,0.18092527152652296,0.005580184238681037,0.18053012220109543,20,20
ExtraTrees,Sigma-Solv,2D-Min,MAE,-0.14561861591907294,0.0036840764246427594,-0.14477692425674477,20,20
ExtraTrees,Sigma-Solv,2D-Min,RMSE,-0.18869315397698244,0.006271802148204797,-0.18808631150193406,20,20
ExtraTrees,CAT-Solv-47,Sigma-Solv,R2,0.026360771044340266,0.007767700925815677,0.026665850211488873,20,20
ExtraTrees,CAT-Solv-47,Sigma-Solv,MAE,-0.016332804048376476,0.005539005159117728,-0.016646376203895696,20,20
ExtraTrees,CAT-Solv-47,Sigma-Solv,RMSE,-0.03224955142627887,0.009461877719094885,-0.03266736057343472,20,20
ExtraTrees,CAT-Solv-47,2D-Elec,R2,0.14311358196457835,0.00557871205339986,0.14293530482886208,20,20
ExtraTrees,CAT-Solv-47,2D-Elec,MAE,-0.11717028756087404,0.004931565217976202,-0.11777779501071872,20,20
ExtraTrees,CAT-Solv-47,2D-Elec,RMSE,-0.1592772027632568,0.006409517382941321,-0.158549754404682,20,20
ExtraTrees,CAT-Solv-47,2D-Min,R2,0.20728604257086322,0.006832545382455129,0.20839850092748147,20,20
ExtraTrees,CAT-Solv-47,2D-Min,MAE,-0.1619514199674494,0.0053018391963677875,-0.1618606097497303,20,20
