learner,feature_layer,seed,SMILES_Solvent,Solvent_Name,n_rows,R2,MAE,RMSE
HistGradientBoosting,CAT-Solv-47,42,CN1CCCC1=O,NMP,1049,0.7419164263221878,0.30366262352003326,0.39823636783415106
HistGradientBoosting,CAT-Solv-47,42,CCCOC(C)=O,n-Propyl acetate,1046,0.9139566147076233,0.17573901155129493,0.23551016662757335
HistGradientBoosting,CAT-Solv-47,42,CS(C)=O,DMSO,1076,0.6825279650444043,0.42929852592901574,0.5811762948340194
HistGradientBoosting,CAT-Solv-47,42,OCCO,Ethylene glycol,1111,0.738391323430694,0.39983577244698454,0.5377855625852561
XGBoost,2D-Min,43,C1CCCCC1,Cyclohexane,1142,0.2374263773317431,1.0062138178691484,1.2486557358462531
XGBoost,2D-Min,43,CN1CCCC1=O,NMP,1049,-0.29436059219705957,0.7641608906100722,0.8918429372913129
XGBoost,2D-Min,43,CCCOC(C)=O,n-Propyl acetate,1046,0.901373606700905,0.1784383150969443,0.25214333398680155
XGBoost,2D-Min,43,CS(C)=O,DMSO,1076,0.4402551057818429,0.6193025948936696,0.7717030636342446
XGBoost,2D-Min,43,OCCO,Ethylene glycol,1111,0.6367049130488298,0.4693836982024372,0.6337424951412383
RandomForest,2D-Min,43,C1CCCCC1,Cyclohexane,1142,0.3682489280280923,0.8854866301108564,1.1365140807419336
RandomForest,2D-Min,43,CN1CCCC1=O,NMP,1049,-0.9021530654538326,0.9241271546187364,1.0811438124311978
RandomForest,2D-Min,43,CCCOC(C)=O,n-Propyl acetate,1046,0.9412587879088768,0.12273886479190915,0.19459082847972545
RandomForest,2D-Min,43,CS(C)=O,DMSO,1076,-0.1155095525872527,0.8372954249673823,1.0894111121627272
RandomForest,2D-Min,43,OCCO,Ethylene glycol,1111,0.7141810327896743,0.4109225675484668,0.5621194204857692
ExtraTrees,2D-Min,43,C1CCCCC1,Cyclohexane,1142,0.22845640316711002,1.0041042105860556,1.2559780878888256
ExtraTrees,2D-Min,43,CN1CCCC1=O,NMP,1049,-0.07173164129803244,0.6796239754000142,0.8115284745682139
ExtraTrees,2D-Min,43,CCCOC(C)=O,n-Propyl acetate,1046,0.9455692484552272,0.11155828213092446,0.18731522601510311
ExtraTrees,2D-Min,43,CS(C)=O,DMSO,1076,0.1672141632970512,0.7225067125814659,0.941286476526878
ExtraTrees,2D-Min,43,OCCO,Ethylene glycol,1111,0.7072022260223905,0.401715922329962,0.5689406339859415
HistGradientBoosting,2D-Min,43,C1CCCCC1,Cyclohexane,1142,0.18842363296206,1.0412524859812167,1.28815025247528
HistGradientBoosting,2D-Min,43,CN1CCCC1=O,NMP,1049,-0.2692464511597097,0.7536569750070005,0.8831484585604694
HistGradientBoosting,2D-Min,43,CCCOC(C)=O,n-Propyl acetate,1046,0.8786699071194357,0.20564135275688342,0.2796631082988571
HistGradientBoosting,2D-Min,43,CS(C)=O,DMSO,1076,0.08880557204712436,0.7956315008353929,0.9846019275418514
HistGradientBoosting,2D-Min,43,OCCO,Ethylene glycol,1111,0.6066132508585359,0.5018747800809723,0.6594667910918451
XGBoost,2D-Elec,43,C1CCCCC1,Cyclohexane,1142,0.540892501958294,0.762248130338989,0.9688555240792779
XGBoost,2D-Elec,43,CN1CCCC1=O,NMP,1049,0.41307528702943397,0.4703072877771467,0.6005538209889194
XGBoost,2D-Elec,43,CCCOC(C)=O,n-Propyl acetate,1046,0.9274782828546281,0.16051719799430111,0.21621456913579343
XGBoost,2D-Elec,43,CS(C)=O,DMSO,1076,0.3808384039705014,0.6687477569381077,0.8116282585811414
XGBoost,2D-Elec,43,OCCO,Ethylene glycol,1111,0.7293159784229526,0.4090435671109817,0.5470340719617439
RandomForest,2D-Elec,43,C1CCCCC1,Cyclohexane,1142,0.5278699985331685,0.7413245481356521,0.9825001520320937
RandomForest,2D-Elec,43,CN1CCCC1=O,NMP,1049,0.06243926026736313,0.5760459235444949,0.7590326242730333
RandomForest,2D-Elec,43,CCCOC(C)=O,n-Propyl acetate,1046,0.9625844280631267,0.1065121857538496,0.15530202171248142
RandomForest,2D-Elec,43,CS(C)=O,DMSO,1076,-0.170456372161081,0.8963851219242621,1.1159192494443133
RandomForest,2D-Elec,43,OCCO,Ethylene glycol,1111,0.7076078517759379,0.4223414136119342,0.5685464080462165
ExtraTrees,2D-Elec,43,C1CCCCC1,Cyclohexane,1142,0.4548063653619855,0.8228073135823916,1.0557892003637483
ExtraTrees,2D-Elec,43,CN1CCCC1=O,NMP,1049,0.3647943735438779,0.5068294127126459,0.6247667444140813
ExtraTrees,2D-Elec,43,CCCOC(C)=O,n-Propyl acetate,1046,0.9641266105719015,0.09709660692366363,0.15206775040121204
ExtraTrees,2D-Elec,43,CS(C)=O,DMSO,1076,-0.008637471852526613,0.8369573429461852,1.0359116167214424
ExtraTrees,2D-Elec,43,OCCO,Ethylene glycol,1111,0.6565376469522801,0.4364776043645239,0.6162013387490827
HistGradientBoosting,2D-Elec,43,C1CCCCC1,Cyclohexane,1142,0.4885027825276491,0.8234192706899586,1.0226416220046806
HistGradientBoosting,2D-Elec,43,CN1CCCC1=O,NMP,1049,0.35204126416086023,0.48588136506575375,0.6310073400224981
HistGradientBoosting,2D-Elec,43,CCCOC(C)=O,n-Propyl acetate,1046,0.9256063580064714,0.15362505948576197,0.21898724779581966
HistGradientBoosting,2D-Elec,43,CS(C)=O,DMSO,1076,-0.17500205556129633,0.9127557374970255,1.118084088800805
HistGradientBoosting,2D-Elec,43,OCCO,Ethylene glycol,1111,0.6597264260059443,0.4634683225596812,0.6133341949292076
XGBoost,Sigma-Solv,43,C1CCCCC1,Cyclohexane,1142,0.6170463883269531,0.6953162092822123,0.8848607101704461
XGBoost,Sigma-Solv,43,CN1CCCC1=O,NMP,1049,0.6268341441324552,0.37280615718843113,0.47886344564872957
XGBoost,Sigma-Solv,43,CCCOC(C)=O,n-Propyl acetate,1046,0.9176444121087263,0.17508449785997002,0.2304079453326606
XGBoost,Sigma-Solv,43,CS(C)=O,DMSO,1076,0.6219618487918038,0.48936229276977283,0.6341952271606248
XGBoost,Sigma-Solv,43,OCCO,Ethylene glycol,1111,0.7321848436047296,0.4136660680818918,0.5441274588563636
RandomForest,Sigma-Solv,43,C1CCCCC1,Cyclohexane,1142,0.5337549007010689,0.752689013665834,0.9763577254539337
RandomForest,Sigma-Solv,43,CN1CCCC1=O,NMP,1049,0.6043429949330046,0.38836837881370573,0.4930831548239752
