seed,learner,feature_layer,feature_count,train_n,val_n,test_n,fit_seconds,predict_seconds,R2,MAE,RMSE
48,HistGradientBoosting,Sigma-Solv,47,88054,9784,5424,7.431532207992859,0.03975137497764081,0.7675336805986763,0.4309940253119823,0.6014442989996583
48,RandomForest,2D-Elec,33,88054,9784,5424,13.243578207970131,0.049620875041000545,0.5857775213175849,0.5604673360833482,0.8028459565125531
48,RandomForest,2D-Min,25,88054,9784,5424,9.476019375026226,0.039793166040908545,0.4859836457360238,0.6379784572946257,0.894342483570198
48,RandomForest,CAT-Solv-47,47,88054,9784,5424,22.655110083986074,0.039398166991304606,0.6791996833456349,0.4958312453103067,0.7065335462451185
48,RandomForest,Sigma-Solv,47,88054,9784,5424,19.22878845903324,0.03838475001975894,0.7171130155845867,0.46300937566961053,0.6634708947208559
48,XGBoost,2D-Elec,33,88054,9784,5424,1.999544624995906,0.0061420410056598485,0.6714730262756348,0.5211871266365051,0.7149916115515488
48,XGBoost,2D-Min,25,88054,9784,5424,1.646956458047498,0.0064511249656789005,0.5576262474060059,0.6121654510498047,0.8296789668159831
48,XGBoost,CAT-Solv-47,47,88054,9784,5424,2.7940667910152115,0.006908792012836784,0.8064602613449097,0.3961988389492035,0.5487827268673673
48,XGBoost,Sigma-Solv,47,88054,9784,5424,2.5370710419956595,0.006530541984830052,0.7724941968917847,0.4239179193973541,0.5949927424941904
49,ExtraTrees,2D-Elec,33,88054,9784,5424,7.471369249979034,0.07185850001405925,0.6133795400923192,0.5439462461399304,0.7756357345928727
49,ExtraTrees,2D-Min,25,88054,9784,5424,5.820520207984373,0.0792897500214167,0.5413718988123104,0.5966023037705971,0.8447840850468981
49,ExtraTrees,CAT-Solv-47,47,88054,9784,5424,10.772835042036604,0.07463462499435991,0.7519648669721342,0.4270808508320995,0.6212579987293352
49,ExtraTrees,Sigma-Solv,47,88054,9784,5424,10.826304582995363,0.08650745800696313,0.7232813822359118,0.44821227719960827,0.6561975169498031
49,HistGradientBoosting,2D-Elec,33,88054,9784,5424,7.057862291985657,0.03303279198007658,0.601937920187211,0.5659823103129726,0.7870291113698562
49,HistGradientBoosting,2D-Min,25,88054,9784,5424,6.347276000014972,0.03129795799031854,0.5187798563456282,0.6449409308558749,0.865341021738231
49,HistGradientBoosting,CAT-Solv-47,47,88054,9784,5424,7.635462500038557,0.0341372910188511,0.7839897170897521,0.40979529817903315,0.5797658169180911
49,HistGradientBoosting,Sigma-Solv,47,88054,9784,5424,7.617721332993824,0.03376679198117927,0.7624224619284058,0.4307328139761621,0.6080203032457919
49,RandomForest,2D-Elec,33,88054,9784,5424,13.265870667004492,0.039461375039536506,0.5849864268427342,0.5578753816237295,0.8036122404253285
49,RandomForest,2D-Min,25,88054,9784,5424,9.328460666001774,0.03959608305012807,0.49806908343589384,0.6300277136787467,0.883766156387986
49,RandomForest,CAT-Solv-47,47,88054,9784,5424,22.931812666007318,0.0374290409963578,0.6809699679687564,0.4949271957295077,0.704581403865811
49,RandomForest,Sigma-Solv,47,88054,9784,5424,19.394726375001483,0.037847374973353,0.7124040967683674,0.4652050381533657,0.6689701513378328
49,XGBoost,2D-Elec,33,88054,9784,5424,1.9842869589920156,0.006179874995723367,0.6586300134658813,0.5274825096130371,0.7288331268037506
